,zip,lat,temp,humidity,cloudiness
418,75007,33.03,68.0,16,0.05
419,75040,32.91,68.11,20,0.01
420,75043,32.85,68.11,20,0.01
421,75052,32.66,67.89,16,0.05
422,75056,33.09,67.89,16,0.05
423,75067,33.05,67.69,16,0.05
424,75070,33.2,67.64,20,0.01
425,75150,32.81,68.25,16,0.05
426,75211,32.74,67.89,16,0.05
427,75217,32.73,68.13,16,0.05
428,75228,32.84,68.0,16,0.05
429,75243,32.91,68.09,16,0.05
430,75287,33.03,68.0,16,0.05
431,76028,32.54,68.0,16,0.05
432,76063,32.56,68.11,16,0.05
433,76137,32.86,67.78,16,0.05
434,76244,32.93,67.68,16,0.05
435,77036,29.72,72.66,27,0.01
436,77077,29.71,72.66,27,0.01
437,77082,29.71,72.66,27,0.01
438,77083,29.69,72.5,28,0.0
439,77084,29.78,72.39,28,0.0
440,77095,29.9,72.48,27,0.01
441,77346,30.0,72.14,29,0.01
442,77373,30.02,72.25,46,0.01
443,77379,30.05,72.25,28,0.0
444,77429,29.97,72.48,28,0.0
445,77433,29.97,72.48,28,0.0
446,77449,29.78,72.39,28,0.0
447,77450,29.74,72.41,28,0.0
448,77459,29.56,72.57,40,0.01
449,77479,29.57,72.5,28,0.0
450,77494,29.79,71.78,33,0.0
451,77573,29.51,72.39,40,0.01
452,77584,29.56,72.41,40,0.01
453,78045,27.65,75.2,19,0.01
454,78130,29.72,75.88,23,0.01
455,78228,29.49,75.42,16,0.01
456,78240,29.5,74.32,18,0.01
457,78245,29.33,75.45,16,0.01
458,78250,29.5,74.32,18,0.01
459,78251,29.5,74.32,18,0.01
460,78521,25.92,82.42,61,0.01
461,78572,26.22,79.59,61,0.01
462,78577,26.17,79.59,61,0.01
463,78613,30.52,71.94,12,0.01
464,78660,30.44,73.13,12,0.01
465,78664,30.51,70.88,12,0.01
466,78666,29.88,75.2,12,0.01
467,78745,30.23,73.65,12,0.01
468,79912,31.83,51.8,25,0.01
469,79924,31.87,51.8,25,0.01
470,79936,31.8,51.33,23,0.01
471,79938,31.82,51.17,23,0.01
472,84015,31.34,39.04,52,0.01
473,84095,40.56,30.81,58,0.9
474,20147,39.04,37.63,93,0.9
475,22003,38.84,38.35,93,0.9
476,22191,38.64,38.05,93,0.9
477,22192,38.66,38.17,93,0.9
478,22193,38.64,38.23,93,0.9
479,22204,38.86,38.37,93,0.9
480,22304,38.82,38.37,93,0.9
481,22407,38.29,39.06,100,0.9
482,23320,36.73,44.74,100,0.9
483,23322,36.63,44.76,100,0.9
484,23452,36.83,44.94,100,0.9
485,23454,36.84,44.94,100,0.9
486,23456,36.75,44.92,100,0.9
487,23462,36.84,44.74,100,0.9
488,23464,36.8,44.74,100,0.9
489,23666,37.05,43.57,100,0.9
490,98012,47.82,43.81,70,0.75
491,98052,47.67,43.88,70,0.75
492,98103,47.67,43.93,70,0.75
493,98115,47.68,43.88,70,0.75
494,98208,47.88,44.01,70,0.75
495,99301,46.24,36.39,97,0.01
496,53215,43.01,33.19,100,0.9
