,Unnamed: 0,ZIPCODE,lat,temp,humidity,cloudiness,STATE,Number of returns,Adjusted gross income (AGI),Avg AGI,Number of returns with total income,Total income amount,Avg total income,Number of returns with taxable income,Taxable income amount,Avg taxable income
15,15,90046,34.09,59.85,20,0.01,CA,27380,2252457,82.2665084,27380,2307707,84.28440467,22870,1663943,72.75658067
16,16,90066,34.0,60.03,44,0.01,CA,28130,2176462,77.37156061,28130,2225044,79.09861358,22910,1553820,67.82278481
17,17,90201,33.97,60.1,20,0.01,CA,37490,1032857,27.55020005,37490,1040979,27.76684449,22440,397108,17.69643494
18,18,90250,33.91,59.9,20,0.01,CA,42350,1727925,40.80106257,42350,1744745,41.19822904,30410,955686,31.42670174
19,19,90255,33.98,60.06,20,0.01,CA,30240,841230,27.81845238,30240,847767,28.03462302,17930,322174,17.96843279
20,20,90262,33.93,60.06,20,0.01,CA,26830,802057,29.89403653,26830,808022,30.11636228,16960,319829,18.85784198
21,21,90280,33.93,60.06,20,0.01,CA,39260,1260674,32.11090168,39260,1270489,32.36090168,25530,552357,21.63560517
22,22,90631,33.93,59.9,20,0.01,CA,30780,1816457,59.01419753,30780,1842583,59.86299545,23510,1131990,48.14929817
23,23,90640,34.02,60.1,20,0.01,CA,28070,1173997,41.82390452,28070,1185590,42.23690773,20120,653027,32.45661034
24,24,90650,33.91,60.1,20,0.01,CA,44600,1807048,40.5167713,44600,1821160,40.83318386,33050,945323,28.60281392
25,25,90660,33.98,60.1,20,0.01,CA,27940,1097713,39.28822477,27940,1105732,39.57523264,20550,567467,27.61396594
26,26,90706,33.88,60.1,20,0.01,CA,33030,1372275,41.54632153,33030,1384268,41.90941568,24190,748207,30.930425800000002
27,27,90731,33.75,60.08,36,0.05,CA,25660,1275186,49.69547935,25660,1290117,50.27735776,18830,782182,41.53913967
28,28,90745,33.81,60.06,20,0.01,CA,26570,1215093,45.73176515,26570,1224408,46.08234851,20010,678972,33.93163418
29,29,90805,33.84,60.06,20,0.01,CA,39240,1336273,34.05384811,39240,1346380,34.31141692,26230,632387,24.10930233
30,30,91331,34.28,58.87,22,0.01,CA,41580,1316307,31.65721501,41580,1327510,31.92664743,27390,590143,21.54592917
31,31,91335,34.24,58.44,23,0.01,CA,33000,1328724,40.26436364,33000,1346410,40.80030303,23230,731780,31.50150667
32,32,91342,34.28,58.87,22,0.01,CA,39080,1708788,43.72538383,39080,1725431,44.15125384,28760,930274,32.346105699999995
33,33,91402,34.28,58.87,22,0.01,CA,27480,845786,30.77823872,27480,854146,31.08245997,17270,384547,22.26676317
34,34,91702,34.13,59.9,20,0.01,CA,25050,1027936,41.03536926,25050,1038119,41.44187625,17700,552493,31.21429379
35,35,91706,34.09,59.9,20,0.01,CA,32340,1089986,33.70395795,32340,1101394,34.05670996,21700,512602,23.62221198
36,36,91709,33.97,59.72,20,0.01,CA,33470,2670963,79.80170302,33470,2712703,81.04878996,27480,1763249,64.16481077
37,37,91710,34.01,59.9,20,0.01,CA,32820,1690502,51.50828763,32820,1710371,52.11368068,24980,991940,39.70936749
38,38,91730,34.1,59.36,20,0.01,CA,29260,1526966,52.1861244,29260,1545443,52.81760082,23240,935711,40.26295181
39,39,91744,34.02,59.9,20,0.01,CA,35960,1210782,33.67024472,35960,1220355,33.93645717,24110,562948,23.34914973
40,40,91761,34.05,60.03,20,0.01,CA,25500,1163864,45.64172549,25500,1177688,46.18384314,18780,646940,34.44834931
41,41,91766,34.06,59.76,20,0.01,CA,27970,1039249,37.15584555,27970,1049937,37.53796925,18260,518450,28.39266156
42,42,91770,34.07,60.1,20,0.01,CA,27900,994977,35.66225806,27900,1009456,36.18121864,18060,531335,29.42054264
43,43,91910,32.64,62.04,14,0.05,CA,35940,1772151,49.30859766,35940,1791151,49.83725654,27230,1068184,39.22820419
44,44,91911,32.61,62.19,14,0.05,CA,38820,1554276,40.03802164,38820,1566167,40.34433282,28060,833107,29.69019957
45,45,91977,32.71,62.04,14,0.05,CA,26150,1195042,45.69950287,26150,1206664,46.14393881,19760,687530,34.79402834
46,46,92021,32.81,61.84,14,0.05,CA,28610,1371408,47.93456833,28610,1386729,48.47008039,21030,825068,39.23290537
47,47,92056,33.2,61.54,100,0.01,CA,25670,1479653,57.64133229,25670,1499463,58.41305025,20590,950917,46.18343856
48,48,92057,33.23,61.54,100,0.01,CA,25920,1428896,55.12716049,25920,1444982,55.74776235,20260,875820,43.2290227
49,49,92105,32.74,61.84,14,0.05,CA,28050,825662,29.43536542,28050,833924,29.72991087,17380,379286,21.82313003
50,50,92109,32.78,61.84,14,0.05,CA,25700,1829663,71.19311284,25700,1866412,72.62303502,22360,1351911,60.46113596
51,51,92114,32.7,62.04,14,0.05,CA,29800,1174169,39.401644299999994,29800,1181955,39.66291946,21860,624157,28.55247027
